rowId,PROGRAM_WORKING_ID,MESSAGE,DATE_CREATED
416,78,M01 	External interlock axis exists	0004        	Z,2025-05-27 14:40:45.597878
417,78,,2025-05-27 14:40:48.7159663
418,78,M01 	External interlock axis exists	0004        	XYV,2025-05-27 14:41:13.9685004
419,78,,2025-05-27 14:41:17.9219808
420,79,M01 	External interlock axis exists	0004        	XYV,2025-05-27 14:43:09.9988574
421,79,,2025-05-27 14:43:13.9550719
422,79,M01 	External interlock axis exists	0004        	X,2025-05-27 14:44:14.0801557
423,79,,2025-05-27 14:44:14.3182576
424,79,M01 	External interlock axis exists	0004        	X,2025-05-27 14:44:16.1717747
425,79,,2025-05-27 14:44:16.4301855
426,-1,M01 	External interlock axis exists	0004        	YV,2025-05-27 14:57:21.1520958
427,-1,,2025-05-27 14:57:21.414234
428,-1,M01 	External interlock axis exists	0004        	YV,2025-05-27 14:57:21.6718631
429,-1,,2025-05-27 14:57:22.4748443
430,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-27 14:57:58.4323461
431,-1,,2025-05-27 14:58:03.7092544
432,80,M01 	External interlock axis exists	0004        	XYV,2025-05-27 15:24:23.6074395
433,80,,2025-05-27 15:24:27.7659639
